IST,PM2.5_ATM_µg/m3,PM 2.5 - CPCB
2/27/2021 8:30,144.24,107.7
2/27/2021 9:30,82.44,108.2
2/27/2021 10:30,50.15,92.4
2/27/2021 11:30,40.63,73.9
2/27/2021 12:30,29.76,57.8
2/27/2021 13:30,34.35,45.5
2/27/2021 14:30,31.77,32.7
2/27/2021 15:30,36.2,30.25
2/27/2021 16:30,55.86,35.9
2/27/2021 17:30,93.38,39.4
2/27/2021 18:30,183.93,45.25
2/27/2021 19:30,168.49,50.9
2/27/2021 20:30,105.08,58.85
2/27/2021 21:30,101.97,59.55
2/27/2021 22:30,106.86,56.8
2/27/2021 23:30,112.61,55.8
2/28/2021 0:30,115.64,49.4
2/28/2021 7:30,128.95,55.05
2/28/2021 8:30,126.75,55.95
2/28/2021 9:30,104.73,60.85
2/28/2021 10:30,84.09,68.9
2/28/2021 11:30,61.58,70.75
2/28/2021 12:30,54.6,70.55
2/28/2021 13:30,51.19,63.35
2/28/2021 14:30,40.85,54.45
2/28/2021 15:30,42.18,50.6
2/28/2021 16:30,51.1,45.5
2/28/2021 17:30,90.62,47.35
2/28/2021 18:30,115.78,53.1
2/28/2021 19:30,105.21,57.75
2/28/2021 20:30,97.97,61.65
2/28/2021 21:30,105.24,59.6
2/28/2021 22:30,105.44,58.75
2/28/2021 23:30,109.66,57.6
3/1/2021 0:30,97.48,54.65
3/1/2021 1:30,95.31,51.9
3/1/2021 2:30,90.71,51.45
3/1/2021 3:30,87.21,53.15
3/1/2021 4:30,85.18,50.25
3/1/2021 5:30,85.48,46.5
3/1/2021 6:30,94.5,45.8
3/1/2021 7:30,93.87,42.8
3/1/2021 8:30,92.7,41.75
3/1/2021 9:30,99.9,43.6
3/1/2021 10:30,106.28,48.85
3/1/2021 11:30,68.06,55
3/1/2021 12:30,53.71,55.7
3/1/2021 13:30,39.94,51.85
3/1/2021 14:30,42.85,54.5
3/1/2021 15:30,43.05,57.7
3/1/2021 16:30,48.98,56.75
3/1/2021 17:30,78.96,58.45
3/1/2021 18:30,189.83,60.2
3/1/2021 19:30,156.2,65.45
3/1/2021 20:30,174.7,70.3
3/1/2021 21:30,185.92,81.25
3/1/2021 22:30,160.86,89.55
3/1/2021 23:30,137.82,86.7
3/2/2021 8:30,117.77,71.25
3/2/2021 9:30,99.55,71.6
3/2/2021 10:30,81.83,71.95
3/2/2021 11:30,62.47,74
3/2/2021 12:30,57.5,68.3
3/2/2021 13:30,56.44,63.1
3/2/2021 14:30,54.79,66.4
3/2/2021 15:30,52.74,68.25
3/2/2021 16:30,54.19,63.6
3/2/2021 17:30,65.8,57
3/2/2021 18:30,73.68,54.35
3/2/2021 19:30,70.21,54.95
3/2/2021 20:30,72.08,53.35
3/2/2021 21:30,76.53,50.75
3/2/2021 22:30,83.29,51.7
3/2/2021 23:30,81.41,49.9
3/3/2021 0:30,76.1,42.2
3/3/2021 1:30,79.33,39.95
3/3/2021 2:30,82.45,44
3/3/2021 3:30,82.31,39.65
3/3/2021 4:30,95.81,37.55
3/3/2021 5:30,93.98,45.65
3/3/2021 6:30,95.51,61.35
3/3/2021 7:30,81.13,60.4
3/3/2021 8:30,59.88,58.4
3/3/2021 9:30,58.1,62.6
3/3/2021 10:30,51.21,63.5
3/3/2021 11:30,55.1,61.5
3/3/2021 12:30,50.1,59.25
3/3/2021 13:30,53.77,61.45
3/3/2021 14:30,53.6,60.55
3/3/2021 15:30,53.65,60.1
3/3/2021 16:30,57.02,62.3
3/3/2021 17:30,94.02,67.2
3/3/2021 18:30,166.42,69.25
3/3/2021 19:30,200.93,75.9
3/3/2021 20:30,234.41,85.3
3/3/2021 21:30,225.02,87.55
3/3/2021 22:30,213.77,90.05
3/3/2021 23:30,236.76,92.1
3/4/2021 0:30,235.79,99.9
3/4/2021 1:30,202.5,106.6
3/4/2021 2:30,199.82,101.15
3/4/2021 6:30,242.04,117.25
3/4/2021 7:30,208.25,116.55
3/4/2021 8:30,188.99,126.9
3/4/2021 9:30,126.42,130.35
3/4/2021 12:30,79.45,50
3/4/2021 13:30,84.07,65.3
3/4/2021 14:30,78.49,70.9
3/4/2021 15:30,75.66,73.1
3/4/2021 16:30,78.08,75.4
3/4/2021 17:30,120.36,77.7
3/4/2021 18:30,210.16,76.3
3/4/2021 19:30,150.94,93.4
3/4/2021 20:30,125.69,103.4
3/4/2021 21:30,121.54,88
3/4/2021 22:30,122.13,77.6
3/4/2021 23:30,119.58,76.3
3/5/2021 0:30,107.18,67.9
3/5/2021 1:30,108.41,65.1
3/5/2021 2:30,115.65,60.1
3/5/2021 3:30,115.18,58.5
